slug,title,category,verdict,body_topic,confidence
communication-styles-passive-aggressive-passive-aggressive-assertive,Secure Attachment,Relationships & Communication,MISMATCH,passive aggressive assertive communication styles,0.99
hyperkinetic-disorder,Sex and Relationship Addiction,Understanding Mental Health Conditions,MISMATCH,hyperkinetic disorder ICD ADHD diagnosis,0.99
building-culturally-responsive-mental-health-services-newcomers,Barriers to Mental Health Care,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,culturally responsive mental health services newcomers,0.95
the-roles-people-play-in-families-scapegoat-hero-lost-child-and-more,What Is a Healthy Family,Relationships & Communication,MISMATCH,dysfunctional family roles and patterns,0.97
men-in-the-military-service-sacrifice-and-psychological-impact,Gender and Substance Use,Men's Mental Health,MISMATCH,military service psychological impact on veterans,0.98
persistent-depressive-disorder-dysthymia,Teen Depression,"Depression, Grief & Loss",MISMATCH,persistent depressive disorder dysthymia criteria,0.98
medical-decision-making-when-youre-overwhelmed-frameworks-for-clarity,Healing the Spiritual Wound,"Chronic Illness, Pain & Medical Psychology",MISMATCH,medical decision-making frameworks under distress,0.98
anxiety-statistics-research-who-is-affected,Anxiety and Avoidance,"Anxiety, Stress & Overwhelm",MISMATCH,global anxiety disorder prevalence statistics,0.97
trauma-substance-use,Psychosis,Understanding Mental Health Conditions,MISMATCH,trauma and substance use disorder comorbidity,0.99
culture-shapes-self-esteem-individualist-collectivist,The Imposter Phenomenon,"Self-Worth, Confidence & Identity",MISMATCH,cultural differences in self-esteem values,0.98
diabetes-and-depression-managing-two-conditions-together,Meaning-Making After Loss,"Chronic Illness, Pain & Medical Psychology",MISMATCH,diabetes and depression bidirectional comorbidity,0.99
